Paul_Ryan	Paul_Ryan | description | American politician, former Speaker of U.S. House of Representatives && Paul_Ryan | instanceOf | human && Paul_Ryan | gender | male && Paul_Ryan | occupation | politician && Paul_Ryan | occupation | congressional staff && Paul_Ryan | occupation | congressional staff
Bobina	Bobina | description | Russian disc jockey, composer and record producer && Bobina | instanceOf | human && Bobina | gender | male && Bobina | occupation | disc jockey && Bobina | occupation | composer && Bobina | occupation | record producer
Aurakles	Aurakles | description | fictional character && Aurakles | instanceOf | comics character
Pecorino_Romano	Pecorino_Romano | description | protected designation of origin && Pecorino_Romano | subClass | Pecorino && Pecorino_Romano | subClass | pressed cooked cheese
2702.0	
Alexandria,_Indiana	Alexandria,_Indiana | description | city in Madison County, Indiana, United States && Alexandria,_Indiana | instanceOf | city of the United States
Marysville,_Ohio	Marysville,_Ohio | description | city in Ohio, United States && Marysville,_Ohio | instanceOf | city of the United States && Marysville,_Ohio | instanceOf | county seat
166.0	
ARA_Veinticinco_de_Mayo_(V-2)	ARA_Veinticinco_de_Mayo_(V-2) | description | scrapped aircraft carrier && ARA_Veinticinco_de_Mayo_(V-2) | instanceOf | light aircraft carrier
Audi_e-tron	
5-speed manual	
Antioquia_Department	Antioquia_Department | description | department of Colombia && Antioquia_Department | instanceOf | department of Colombia
Opelika,_Alabama	Opelika,_Alabama | description | city in Alabama && Opelika,_Alabama | instanceOf | city of the United States && Opelika,_Alabama | instanceOf | county seat
Romani_people	Romani_people | description | ethnic group living mostly in Europe and the Americas && Romani_people | subClass | Indo-Aryan peoples && Romani_people | instanceOf | ethnic group && Romani_people | instanceOf | itinerant groups in Europe
Institute of Paleobiology, Polish Academy of Sciences	
Ground_beef	Ground_beef | description | finely chopped beef && Ground_beef | subClass | minced meat && Ground_beef | subClass | beef
Noodle	Noodle | description | type of staple food made from some type of unleavened dough && Noodle | subClass | staple food && Noodle | subClass | pasta && Noodle | instanceOf | type of pasta
Alex_Tyus	Alex_Tyus | description | American-Israeli basketball player who converted to Judaism && Alex_Tyus | instanceOf | human && Alex_Tyus | gender | male && Alex_Tyus | occupation | basketball player
Amazing-Man_(comicsCharacter)	
U.S._Route_83	U.S._Route_83 | description | highway in the United States && U.S._Route_83 | instanceOf | road
1979-03-30	
Marriott_International	Marriott_International | description | international hospitality company in Bethesda, Maryland, United States && Marriott_International | instanceOf | business && Marriott_International | industry | hospitality industry && Marriott_International | industry | tourism industry && Marriott_International | instanceOf | enterprise && Marriott_International | instanceOf | public company && Marriott_International | instanceOf | hotel chain
King_County,_Washington	King_County,_Washington | description | county in the state of Washington, United States && King_County,_Washington | instanceOf | county of Washington
Ground beef, tapioca, noodle, rice vermicelli, beef broth, kailan, celery, salted vegetables, fried shallots	
Nawaz_Sharif	Nawaz_Sharif | description | Former Pakistani three time Prime Minister, businessman and politician && Nawaz_Sharif | instanceOf | ogre
National_Hockey_League	National_Hockey_League | description | North American professional ice hockey league && National_Hockey_League | instanceOf | professional sports league && National_Hockey_League | instanceOf | ice hockey league
837080.744 (squareKilometres)	
Spain	Spain | description | country in southwestern Europe && Spain | instanceOf | sovereign state && Spain | instanceOf | realm && Spain | instanceOf | country && Spain | instanceOf | Mediterranean country
Ahri'ahn	
Bakewell_pudding	
39447000.0	
Alfred_Giles_(architect)	Alfred_Giles_(architect) | description | architect && Alfred_Giles_(architect) | instanceOf | human && Alfred_Giles_(architect) | gender | male && Alfred_Giles_(architect) | occupation | architect
Fried_chicken	Fried_chicken | description | dish consisting of chicken pieces which have been coated in a seasoned batter and pan-fried, deep fried, or pressure fried && Fried_chicken | subClass | chicken dish && Fried_chicken | subClass | deep-fried food && Fried_chicken | subClass | meal
Essex_County,_New_York	Essex_County,_New_York | description | county in New York, United States && Essex_County,_New_York | instanceOf | county of New York
0-439-92550-9	
Compilation_Album	
Shinzō_Abe	
The_Horns_of_Happiness	The_Horns_of_Happiness | description | American rock band && The_Horns_of_Happiness | instanceOf | musical group
Filipinos_in_Japan	Filipinos_in_Japan | description | ethnic group && Filipinos_in_Japan | instanceOf | ethnic group
2008-12-17	
Angola	Angola | description | sovereign state in Africa && Angola | instanceOf | sovereign state && Angola | instanceOf | Portuguese Empire && Angola | instanceOf | country
Dublin	Dublin | description | capital city of Ireland && Dublin | instanceOf | capital && Dublin | instanceOf | big city && Dublin | instanceOf | administrative city in the Republic of Ireland
Alley_Award	Alley_Award | description | American series of comic book fan awards && Alley_Award | subClass | comics award && Alley_Award | instanceOf | comics award
Ministry_of_Economy,_Development_and_Tourism_(Greece)	
1972550.0	
11_Diagonal_Street	11_Diagonal_Street | description | building in South Africa && 11_Diagonal_Street | instanceOf | high-rise building
Felipe_Gozon	Felipe_Gozon | description | chief executive and chair of GMA Network Inc && Felipe_Gozon | instanceOf | human && Felipe_Gozon | gender | male && Felipe_Gozon | occupation | chief executive officer
Actor	Actor | description | person who acts in a dramatic or comic production and works in film, television, theatre, or radio && Actor | subClass | performing artist && Actor | subClass | creative and performing artist && Actor | instanceOf | profession && Actor | instanceOf | occupation && Actor | instanceOf | occupation group according to ISCO
11.5	
Republic_of_Ireland	Republic_of_Ireland | description | sovereign state in northwestern Europe covering five-sixths of the island of Ireland && Republic_of_Ireland | instanceOf | sovereign state && Republic_of_Ireland | instanceOf | island nation && Republic_of_Ireland | instanceOf | country
416136000000.0	
